steering_wheel_angle,,等效转角,,
-347.23 ,-0.331474599,-18.99209555,,14.26638821
-346.65 ,-0.330993775,-18.96454635,,14.26852667
-346.07 ,-0.330513122,-18.93700699,,14.27067056
-345.49 ,-0.330032257,-18.90945542,,14.27279979
-344.91 ,-0.329551186,-18.88189209,,14.2749311
-344.33 ,-0.329070304,-18.8543396,,14.27705357
-343.75 ,-0.32858923,-18.82677608,,14.27916949
-343.16 ,-0.328108164,-18.79921301,,14.2812824
-342.58 ,-0.327626919,-18.77163972,,14.28338802
-342.00 ,-0.327145695,-18.74406759,,14.28548788
-341.42 ,-0.326664497,-18.71649698,,14.28758101
-340.84 ,-0.32618314,-18.6889173,,14.28966763
-340.26 ,-0.325701823,-18.66133985,,14.29175343
-339.68 ,-0.325220361,-18.63375412,,14.29382662
-339.10 ,-0.324738762,-18.60616053,,14.29590159
-338.52 ,-0.324257222,-18.57857028,,14.2979645
-337.94 ,-0.323775557,-18.55097293,,14.30002577
-337.36 ,-0.323293963,-18.52337961,,14.30208093
-336.78 ,-0.322812072,-18.49576929,,14.3041283
-336.20 ,-0.322330264,-18.46816376,,14.30616945
-335.62 ,-0.321848361,-18.44055272,,14.30820883
-335.04 ,-0.321366368,-18.41293657,,14.31024191
-334.45 ,-0.320884293,-18.38531571,,14.312267
-333.87 ,-0.320402143,-18.35769055,,14.31428844
-333.29 ,-0.319919925,-18.33006148,,14.31630522
-332.71 ,-0.319437463,-18.30241843,,14.31831208
-332.13 ,-0.318955129,-18.27478276,,14.32032037
-331.55 ,-0.318472748,-18.24714436,,14.32231523
-330.97 ,-0.317990145,-18.21949325,,14.32431145
-330.39 ,-0.317507509,-18.19184025,,14.32629755
-329.81 ,-0.317024667,-18.16417544,,14.32828496
-329.23 ,-0.316541986,-18.13651985,,14.33025871
-328.65 ,-0.316058934,-18.10884301,,14.3322337
-328.07 ,-0.315576057,-18.08117616,,14.33419836
-327.49 ,-0.315092824,-18.053489,,14.33616073
-326.91 ,-0.314609602,-18.02580241,,14.33811614
-326.33 ,-0.314126397,-17.99811676,,14.3400692
-325.74 ,-0.313643038,-17.97042233,,14.34201107
-325.16 ,-0.313159533,-17.94271956,,14.34395465
-324.58 ,-0.312675891,-17.91500892,,14.34588693
-324.00 ,-0.312192294,-17.88730087,,14.34781735
-323.42 ,-0.311708401,-17.8595758,,14.34974275
-322.84 ,-0.311224567,-17.83185417,,14.35166271
-322.26 ,-0.310740626,-17.8041264,,14.35357179
-321.68 ,-0.310256413,-17.77638304,,14.35548464
-321.10 ,-0.309772282,-17.74864435,,14.35738652
-320.52 ,-0.309287895,-17.72089102,,14.35928568
-319.94 ,-0.308803432,-17.69313337,,14.36117666
-319.36 ,-0.308318902,-17.66537184,,14.3630684
-318.78 ,-0.307834312,-17.63760686,,14.36494895
-318.20 ,-0.307349499,-17.60982914,,14.36682957
-317.62 ,-0.306864642,-17.58204889,,14.36869888
-317.04 ,-0.30637958,-17.55425687,,14.37056883
-316.45 ,-0.305894489,-17.52646321,,14.37243032
-315.87 ,-0.30540921,-17.49865875,,14.3742888
-315.29 ,-0.304923751,-17.47084399,,14.37613872
-314.71 ,-0.304438287,-17.44302897,,14.37798916
-314.13 ,-0.30395266,-17.41520458,,14.37983095
-313.55 ,-0.303467044,-17.38738082,,14.38166958
-312.97 ,-0.302981115,-17.35953917,,14.38349946
-312.39 ,-0.302495049,-17.33168966,,14.38532974
-311.81 ,-0.302009019,-17.30384214,,14.38715418
-311.23 ,-0.301522703,-17.27597832,,14.38897232
-310.65 ,-0.301036276,-17.24810807,,14.39078516
-310.07 ,-0.300549744,-17.22023189,,14.39259463
-309.49 ,-0.300063118,-17.19235025,,14.39439442
-308.91 ,-0.299576405,-17.16446364,,14.39619506
-308.33 ,-0.299089452,-17.1365633,,14.39798594
-307.74 ,-0.29860243,-17.10865898,,14.39977697
-307.16 ,-0.298115187,-17.080742,,14.40155878
-306.58 ,-0.297627891,-17.05282203,,14.40333697
-306.00 ,-0.297140393,-17.02489043,,14.40511262
-305.42 ,-0.296652701,-16.99694775,,14.4068846
-304.84 ,-0.296164983,-16.96900358,,14.40864716
