yaw_rate_const,yaw_rate_const_kf,yaw_rate,yaw_rate_kf,yaw_rate_MOKF
0,0,0,-0.00326329,-0.0111082
0,0,-0.0042586,-0.00339445,-0.0115547
0,0,-0.0042586,-0.00350832,-0.0119423
0,0,-0.0042586,-0.00360719,-0.0122788
0,0,-0.0042586,-0.00369303,-0.012571
0,0,-0.0042586,-0.00376756,-0.0128247
0,0,-0.0042586,-0.00383227,-0.013045
0,0,-0.0042586,-0.00388845,-0.0132362
0,0,-0.0042586,-0.00393722,-0.0134023
0,0,-0.0042586,-0.00397957,-0.0135464
0,0,0,-0.00345517,-0.0117613
0,0,0,-0.00299986,-0.0102115
0,0,-0.0042586,-0.00316573,-0.0107761
0,0,-0.0042586,-0.00330975,-0.0112663
0,0,-0.0042586,-0.00343478,-0.0116919
0,0,-0.0042586,-0.00354334,-0.0120615
0,0,-0.0042586,-0.00363759,-0.0123823
0,0,0,-0.00315825,-0.0107506
0,0,0,-0.00274207,-0.00933398
0,0,0,-0.00238074,-0.008104
0,0,0,-0.00206702,-0.0070361
0,0,0,-0.00179464,-0.00610892
0,0,0,-0.00155815,-0.00530392
0,0,0,-0.00135283,-0.004605
0,0,0,-0.00117456,-0.00399818
0,0,0,-0.00101978,-0.00347132
0,0,-0.0042586,-0.00144658,-0.00492412
0,0,0,-0.00125595,-0.00427525
0,0,0,-0.00109045,-0.00371188
0,0,0,-0.000946758,-0.00322275
0,0,0,-0.000821999,-0.00279807
0,0,-0.0042586,-0.00127486,-0.00433959
0,0,-0.0042586,-0.00166804,-0.00567798
0,0,0,-0.00144823,-0.00492976
0,0,0,-0.00125739,-0.00428015
0,0,0,-0.0010917,-0.00371613
0,0,0,-0.000947842,-0.00322644
0,0,0,-0.000822941,-0.00280128
0,0,-0.0042586,-0.00127567,-0.00434237
0,0,0,-0.00110757,-0.00377016
0,0,0,-0.000961622,-0.00327335
0,0,0,-0.000834905,-0.00284201
0,0,0,-0.000724886,-0.0024675
0,0,0,-0.000629365,-0.00214235
0,0,0,-0.00054643,-0.00186004
0,0,0,-0.000474425,-0.00161494
0,0,0,-0.000411908,-0.00140213
0,0,0,-0.000357629,-0.00121736
0,0,0,-0.000310502,-0.00105695
0,0,0,-0.000269586,-0.000917667
0,0,0,-0.000234062,-0.000796742
0,0,0,-0.000203218,-0.000691752
0,0,0,-0.000176439,-0.000600597
0,0,-0.0042586,-0.000714364,-0.00243169
0,0,-0.0042586,-0.0011814,-0.00402148
0,0,-0.0042586,-0.0015869,-0.00540179
0,0,-0.0042586,-0.00193896,-0.0066002
0,0,0,-0.00168346,-0.00573046
0,0,0,-0.00146162,-0.00497534
0,0,-0.0042586,-0.00183019,-0.00622995
0,0,-0.0042586,-0.00215019,-0.00731923
0,0,0,-0.00186685,-0.00635474
0,0,0,-0.00162085,-0.00551735
0,0,0,-0.00140726,-0.0047903
0,0,-0.0042586,-0.001783,-0.0060693
0,0,-0.0042586,-0.00210922,-0.00717975
0,0,0,-0.00183128,-0.00623364
0,0,-0.0042586,-0.00215114,-0.00732244
0,0,-0.0042586,-0.00242885,-0.00826776
0,0,0,-0.00210879,-0.00717828
0,0,0,-0.0018309,-0.00623237
0,0,0,-0.00158964,-0.0054111
0,0,0,-0.00138016,-0.00469806
0,0,0,-0.00119829,-0.00407897
0,0,0,-0.00104039,-0.00354147
0,0,0,-0.000903292,-0.00307479
0,0,0,-0.000784261,-0.00266961
0,0,0,-0.000680915,-0.00231783
0,0,0,-0.000591188,-0.0020124
0,0,-0.0042586,-0.00107446,-0.00365745
0,0,-0.0042586,-0.00149405,-0.00508572
0,0,-0.0042586,-0.00185835,-0.00632578
0,0,-0.00851721,-0.00273581,-0.00931267
0,0,0,-0.0023753,-0.0080855
0,0,0,-0.0020623,-0.00702004
0,0,-0.0042586,-0.00235172,-0.00800521
0,0,-0.0042586,-0.002603,-0.00886056
0,0,0,-0.00225999,-0.00769296
0,0,0,-0.00196218,-0.00667923
0,0,0,-0.00170361,-0.00579908
0,0,0,-0.00147912,-0.00503491
0,0,0,-0.00128421,-0.00437143
0,0,0,-0.00111498,-0.00379539
0,0,0,-0.000968058,-0.00329525
0,0,0,-0.000840492,-0.00286102
0,0,-0.0042586,-0.00129091,-0.00439425
0,0,-0.0042586,-0.00168198,-0.00572543
0,0,-0.0042586,-0.00202151,-0.0068812
0,0,0,-0.00175513,-0.00597443
0,0,-0.0042586,-0.00208502,-0.00709739
0,0,-0.0042586,-0.00237144,-0.00807236
0,0,-0.0042586,-0.00262012,-0.00891886
0,0,0,-0.00227486,-0.00774359
0,0,0,-0.00197509,-0.00672318
0,0,0,-0.00171482,-0.00583724
0,0,0,-0.00148885,-0.00506804
0,0,0,-0.00129266,-0.0044002
0,0,0,-0.00112232,-0.00382037
0,0,0,-0.000974428,-0.00331694
0,0,0,-0.000846023,-0.00287985
0,0,0,-0.000734539,-0.00250036
0,0,0,-0.000637745,-0.00217088
0,0,0,-0.000553707,-0.00188481
0,0,0,-0.000480742,-0.00163644
0,0,0,-0.000417393,-0.0014208
0,0,-0.0042586,-0.000923566,-0.00314381
0,0,-0.0042586,-0.00136304,-0.00463977
0,0,-0.0042586,-0.0017446,-0.0059386
0,0,-0.0042586,-0.00207588,-0.00706627
0,0,-0.0042586,-0.00236351,-0.00804535
0,0,-0.0042586,-0.00261323,-0.00889541
0,0,-0.0042586,-0.00283005,-0.00963346
0,0,-0.0042586,-0.0030183,-0.0102742
0,0,-0.0042586,-0.00318174,-0.0108306
0,0,-0.0042586,-0.00332364,-0.0113136
0,0,-0.0042586,-0.00344685,-0.011733
0,0,0,-0.00299264,-0.0101869
0,0,-0.0042586,-0.00315946,-0.0107548
0,0,-0.0042586,-0.0033043,-0.0112478
0,0,-0.0042586,-0.00343005,-0.0116759
0,0,0,-0.00297806,-0.0101373
0,0,-0.0042586,-0.0031468,-0.0107117
0,0,-0.0042586,-0.00329331,-0.0112104
0,0,-0.0042586,-0.00342051,-0.0116434
0,0,0,-0.00296977,-0.0101091
0,0,0,-0.00257843,-0.00877695
0,0,0,-0.00223866,-0.00762038
0,0,-0.0042586,-0.00250484,-0.00852644
0,0,-0.0042586,-0.00273594,-0.0093131
0,0,-0.0042586,-0.00293659,-0.00999611
0,0,-0.0042586,-0.0031108,-0.0105891
0,0,0,-0.00270087,-0.00919373
0,0,0,-0.00234497,-0.00798223
0,0,0,-0.00203596,-0.00693038
0,0,0,-0.00176767,-0.00601713
0,0,0,-0.00153474,-0.00522423
0,0,0,-0.0013325,-0.00453581
0,0,0,-0.00115691,-0.0039381
0,0,0,-0.00100446,-0.00341916
0,0,0,-0.000872097,-0.0029686
0,0,0,-0.000757176,-0.00257742
0,0,0,-0.0006574,-0.00223778
0,0,0,-0.000570771,-0.0019429
0,0,0,-0.000495558,-0.00168687
0,0,0,-0.000430256,-0.00146459
0,0,0,-0.00037356,-0.00127159
0,0,0,-0.000324334,-0.00110403
0,0,0,-0.000281595,-0.000958545
0,0,0,-0.000244488,-0.000832234
0,0,0.0042586,0.000348904,0.00118767
0,0,0.0042586,0.000864103,0.00294139
0,0,0.0042586,0.00131141,0.00446403
0,0,0,0.0011386,0.00387578
0,0,0,0.000988562,0.00336505
0,0,0,0.000858295,0.00292162
0,0,0,0.000745194,0.00253663
0,0,0,0.000646996,0.00220237
0,0,0,0.000561739,0.00191215
0,0,0,0.000487716,0.00166018
0,0,0,0.000423447,0.00144141
0,0,0,0.000367648,0.00125147
0,0,0,0.000319201,0.00108656
0,0,0.0042586,0.000838314,0.00285361
0,0,0.0042586,0.00128902,0.00438781
0,0,0.0042586,0.00168034,0.00571984
0,0,0.0042586,0.00202009,0.00687634
0,0,0,0.00175389,0.00597022
0,0,0,0.00152277,0.00518349
0,0,0.00851721,0.00244446,0.00832091
0,0,0.00851721,0.00324469,0.0110449
0,0,0.0042586,0.0033783,0.0114997
0,0,0.0042586,0.0034943,0.0118946
0,0,0.0042586,0.00359502,0.0122374
0,0,0.0042586,0.00368246,0.012535
0,0,0,0.00319721,0.0108832
0,0,0,0.0027759,0.00944911
0,0,0.00851721,0.00353245,0.0120244
0,0,0.00851721,0.00418932,0.0142604
0,0,0.00851721,0.00475962,0.0162017
0,0,0.00851721,0.00525478,0.0178872
0,0,0,0.00456233,0.0155301
0,0,0,0.00396113,0.0134836
0,0,0.00851721,0.00456151,0.0155273
0,0,0.00851721,0.00508277,0.0173017
0,0,0.0042586,0.00497416,0.016932
0.0114012,0.00108454,0.0042586,0.00487987,0.0140038
0.0114012,0.00206591,0.00851721,0.00535918,0.0132762
0.0119246,0.00300371,0.00851721,0.00577533,0.0124382
0.0119412,0.0038539,0.0127758,0.00669781,0.0135345
0.0123819,0.00466513,0.0127758,0.00749874,0.0143107
0.0123819,0.00539919,0.0170344,0.0087553,0.0168233
0.0129087,0.00611353,0.0170344,0.00984627,0.0188197
0.0129267,0.00676164,0.0127758,0.0102323,0.0185758
0.013437,0.00739663,0.0127758,0.0105675,0.0181902
0.013437,0.00797121,0.00851721,0.0102973,0.0158892
0.0138622,0.00853159,0.0127758,0.0106239,0.0156538
0.0138622,0.00903866,0.0127758,0.0109075,0.0154001
0.0143725,0.00954604,0.0127758,0.0111537,0.0150184
0.0143725,0.0100052,0.00851721,0.0108063,0.0127321
0.0147977,0.010461,0.00851721,0.0105046,0.0106094
0.0147977,0.0108736,0.00851721,0.0102427,0.0087262
0.0153079,0.0112954,0.00851721,0.0100153,0.00693816
0.0153079,0.0116771,0.0127758,0.0103791,0.0072588
0.0158182,0.012071,0.0170344,0.0112561,0.00929711
0.0158182,0.0124275,0.0170344,0.0120175,0.0110321
0.0167537,0.012839,0.0170344,0.0126786,0.0122931
0.0167537,0.0132114,0.0170344,0.0132526,0.0133518
0.0167537,0.0135483,0.0170344,0.013751,0.0142381
0.0167537,0.0138532,0.0170344,0.0141836,0.0149779
0.017264,0.0141777,0.0170344,0.0145593,0.0154767
0.017264,0.0144713,0.0170344,0.0148855,0.0158811
0.0181994,0.0148259,0.0170344,0.0151686,0.0159925
0.0181994,0.0151468,0.0170344,0.0154145,0.016058
0.0186247,0.0154776,0.0170344,0.015628,0.0159893
0.0186247,0.015777,0.021293,0.0163745,0.0178108
0.0191349,0.0160964,0.021293,0.0170226,0.0192491
0.0191349,0.0163855,0.0127758,0.016463,0.0166493
0.0196452,0.0166955,0.0127758,0.0159771,0.01425
0.0196452,0.0169761,0.0127758,0.0155553,0.0121395
0.0200704,0.0172705,0.0127758,0.015189,0.0101852
0.0200704,0.0175368,0.0170344,0.0154322,0.0103727
0.0205807,0.0178264,0.0170344,0.0156433,0.0103953
0.0205807,0.0180884,0.021293,0.0163878,0.0122997
0.0210909,0.018374,0.021293,0.0170342,0.0138133
0.0210909,0.0186324,0.0127758,0.016473,0.0112819
0.0215162,0.0189068,0.0127758,0.0159858,0.008964
0.0220264,0.0192035,0.0170344,0.016124,0.00872094
0.0220264,0.019472,0.0170344,0.016244,0.00848377
0.0224516,0.0197555,0.021293,0.0169093,0.0100672
0.0224516,0.0200119,0.021293,0.017487,0.011417
0.0229619,0.0202926,0.0170344,0.0174273,0.0105394
0.0229619,0.0205465,0.0170344,0.0173756,0.00975271
0.0238974,0.0208652,0.0170344,0.0173306,0.0088334
0.0238974,0.0211537,0.0170344,0.0172916,0.00800715
0.0238974,0.0214147,0.0170344,0.0172577,0.00726437
0.0238974,0.0216508,0.0170344,0.0172283,0.00659647
0.0244077,0.0219131,0.0170344,0.0172027,0.00587908
0.0244077,0.0221504,0.0170344,0.0171805,0.00523313
0.0253431,0.0224541,0.0255516,0.0182836,0.00825793
0.0253079,0.0227256,0.0255516,0.0192414,0.0108654
0.0257816,0.0230163,0.0298102,0.0206341,0.0149073
0.0257816,0.0232793,0.0298102,0.0218433,0.018391
0.0261691,0.0235542,0.021293,0.0217708,0.0174834
0.0261691,0.0238029,0.021293,0.0217078,0.0166711
0.0261326,0.0240246,0.0255516,0.0222143,0.0178625
0.02664,0.0242733,0.0255516,0.0226541,0.0187614
0.0275318,0.0245833,0.0255516,0.0230359,0.019316
0.0275318,0.0248638,0.0255516,0.0233674,0.0197702
0.0274933,0.0251139,0.0255516,0.0236552,0.0201486
0.0279601,0.0253846,0.0255516,0.0239051,0.0203484
0.0279601,0.0256296,0.0255516,0.0241221,0.020498
0.0284254,0.0258956,0.0255516,0.0243105,0.0204999
0.0283855,0.0261324,0.0298102,0.0250352,0.0223975
0.0287649,0.0263828,0.0298102,0.0256644,0.0239373
0.0287244,0.0266056,0.0255516,0.0256496,0.0233513
0.0292268,0.0268549,0.0255516,0.0256367,0.0227079
0.0291444,0.0270727,0.0255516,0.0256254,0.0221463
0.0295619,0.0273095,0.0255516,0.0256157,0.0215439
0.0294783,0.0275158,0.0255516,0.0256073,0.0210192
0.0304343,0.0277934,0.0255516,0.0255999,0.0203268
0.0303911,0.0280405,0.0298102,0.0261547,0.0216214
0.0307624,0.0282994,0.0298102,0.0266364,0.0226386
0.0307186,0.0285296,0.0255516,0.0264935,0.0215988
0.0311709,0.0287808,0.0255516,0.0263694,0.0205723
0.0311263,0.0290039,0.0298102,0.0268228,0.0215794
0.0315312,0.0292443,0.0298102,0.0272165,0.0223415
0.031486,0.0294576,0.0298102,0.0275583,0.0229923
0.0318512,0.0296853,0.0298102,0.027855,0.0234551
0.0318054,0.0298869,0.0255516,0.0275515,0.021937
0.0322507,0.0301118,0.0255516,0.0272879,0.0204995
0.0322042,0.0303108,0.0255516,0.0270591,0.0192421
0.0325657,0.0305253,0.0255516,0.0268605,0.0180503
0.0324715,0.0307105,0.0255516,0.026688,0.0170181
0.033351,0.0309616,0.0255516,0.0265383,0.0159045
0.0333025,0.0311843,0.021293,0.0258471,0.0130164
0.0336093,0.031415,0.021293,0.025247,0.0104191
0.0335111,0.0316144,0.0255516,0.0252871,0.0100764
0.0343767,0.0318771,0.0255516,0.025322,0.00956341
0.0342756,0.0321053,0.021293,0.0247911,0.00720771
0.0345227,0.0323353,0.021293,0.0243301,0.00508583
0.0343693,0.0325287,0.021293,0.0239299,0.00325838
0.0347419,0.0327393,0.021293,0.0235824,0.00156948
0.0345864,0.032915,0.0340688,0.0249643,0.00585084
0.0352937,0.0331413,0.0340688,0.026164,0.0093908
0.0350812,0.0333258,0.0255516,0.0260833,0.00867248
0.0353875,0.0335219,0.0255516,0.0260132,0.00796251
0.0352261,0.033684,0.0340688,0.0270748,0.0111862
0.0358554,0.0338906,0.0340688,0.0279964,0.0138269
0.0356349,0.0340565,0.0340688,0.0287966,0.0161519
0.0358695,0.034229,0.0340688,0.0294913,0.0181022
0.0356462,0.0343638,0.0383274,0.0306557,0.0217416
0.0357975,0.0345002,0.0383274,0.0316666,0.0248549
0.0355719,0.0346021,0.0340688,0.0319832,0.0256874
0.0361021,0.0347448,0.0340688,0.032258,0.0262799
0.0358713,0.034852,0.0340688,0.0324966,0.0268345
0.0360779,0.0349686,0.0340688,0.0327038,0.0272594
0.0358444,0.0350519,0.0383274,0.0334449,0.0295816
