time_stamp,steering_wheel_angle,speed,yaw_rate,lateral_acc
3200976691,263.562,2.66493,0.287979,1.07812
3200992147,265.75,2.66927,0.291252,0.96875
3201011320,268,2.66493,0.293433,0.96875
3201030015,269,2.66059,0.295615,0.875
3201051006,270.875,2.65625,0.297797,0.875
3201071347,273.062,2.65191,0.299978,0.875
3201094114,274.188,2.65191,0.30216,0.78125
3201110117,274.562,2.65191,0.304342,0.875
3201131052,275.375,2.65625,0.307614,0.875
3201150011,275.562,2.65625,0.309796,0.875
3201181506,275.562,2.65625,0.313068,0.875
3201191665,275.562,2.66059,0.314159,0.875
3201210386,275.562,2.66059,0.316341,0.875
3201230653,275.562,2.65625,0.317432,0.875
3201254381,275.5,2.65625,0.317432,0.78125
3201276886,275.25,2.65191,0.316341,0.78125
3201301930,275.188,2.64757,0.31525,0.78125
3201310122,275,2.64323,0.313068,0.671875
3201331357,274.75,2.63889,0.310887,0.671875
3201353828,274.562,2.63889,0.308705,0.671875
3201371296,274.5,2.63021,0.308705,0.671875
3201389842,274.562,2.62587,0.307614,0.78125
3201410671,274.562,2.62153,0.305433,0.78125
3201432824,274.688,2.61285,0.304342,0.78125
3201449622,274.688,2.60851,0.305433,0.78125
3201470107,275,2.60417,0.305433,0.78125
3201499223,275.688,2.60417,0.305433,0.78125
3201518358,276.188,2.59983,0.305433,0.78125
3201529723,277.5,2.59983,0.304342,0.671875
3201551633,280,2.59983,0.305433,0.671875
3201577247,282.062,2.59983,0.304342,0.671875
3201602132,284.375,2.59549,0.304342,0.671875
3201612012,286.875,2.59114,0.305433,0.671875
3201629625,288.188,2.59114,0.305433,0.671875
3201649796,291,2.58681,0.306523,0.671875
3201671482,295.562,2.58681,0.307614,0.671875
3201690650,298.688,2.58247,0.311978,0.78125
3201709904,302,2.58247,0.31525,0.78125
3201730086,305.375,2.58247,0.318523,0.875
3201750433,307.188,2.58247,0.321795,0.875
3201771936,312.75,2.57812,0.325068,0.96875
3201796557,316.75,2.57812,0.32834,1.07812
3201810492,320.875,2.58247,0.332703,1.17188
3201829748,323,2.58247,0.337067,1.17188
3201850885,327.5,2.56944,0.34143,1.26562
3201870369,334.375,2.57378,0.345793,1.26562
3201892090,338.75,2.56944,0.350157,1.26562
3201910074,343.188,2.56944,0.35452,1.35938
3201929475,345.25,2.56511,0.357792,1.35938
3201949820,349.5,2.56511,0.362156,1.46875
3201973865,355.5,2.56511,0.36761,1.46875
3201995950,359.375,2.56076,0.371973,1.46875
3202020036,363.25,2.56076,0.378518,1.46875
3202029862,367.375,2.56511,0.383972,1.5625
3202049555,369.5,2.56076,0.391608,1.5625
3202070308,375.875,2.56076,0.395972,1.46875
3202099281,380.188,2.56511,0.403607,1.46875
3202111096,382.375,2.56511,0.407971,1.46875
3202129829,386.562,2.56076,0.413425,1.46875
3202154484,390.688,2.56076,0.416697,1.46875
3202178427,396.375,2.55642,0.421061,1.46875
3202197640,400.062,2.55642,0.425424,1.46875
3202211413,403.562,2.55642,0.430878,1.46875
3202229673,405.188,2.55642,0.435241,1.46875
3202253720,408.25,2.55208,0.439605,1.46875
3202270582,412.5,2.55642,0.443968,1.46875
3202290558,415.25,2.56076,0.449422,1.46875
3202316709,416.562,2.56076,0.452695,1.46875
3202330317,420.375,2.56076,0.455967,1.46875
3202352632,421.562,2.56944,0.458149,1.46875
3202371391,424.875,2.57378,0.461421,1.46875
3202390549,427,2.57812,0.464694,1.5625
3202409649,428.688,2.58247,0.467966,1.65625
3202430037,430.188,2.58681,0.47233,1.65625
3202450582,430.875,2.59114,0.476693,1.76562
3202470068,432.688,2.59549,0.482147,1.76562
3202489445,433.562,2.59983,0.486511,1.76562
3202509797,434.375,2.60851,0.491965,1.76562
3202529357,434.75,2.61719,0.496328,1.76562
3202549486,435.5,2.62153,0.4996,1.76562
3202569702,436.375,2.63455,0.502873,1.76562
3202589352,436.688,2.64323,0.506145,1.65625
3202610136,436.75,2.65191,0.508327,1.65625
3202630929,437.062,2.66059,0.509418,1.5625
3202652780,437.188,2.66927,0.510509,1.5625
3202669421,437.375,2.67795,0.5116,1.46875
3202690112,437.5,2.68663,0.5116,1.46875
3202709331,437.5,2.68663,0.51269,1.46875
3202734121,437.5,2.69531,0.513781,1.46875
3202749724,437.5,2.70833,0.515963,1.46875
3202777602,437.25,2.71701,0.518145,1.46875
3202795267,437.062,2.72569,0.519235,1.46875
3202810915,436.562,2.73872,0.521417,1.46875
3202829129,435.562,2.74739,0.52469,1.46875
3202852603,435,2.76042,0.527962,1.46875
3202870612,432.75,2.7691,0.532325,1.46875
3202889402,430.688,2.77344,0.535598,1.46875
3202910938,429.5,2.78211,0.536689,1.35938
3202930457,425.25,2.79081,0.53887,1.35938
3202949133,423.688,2.79947,0.53778,1.26562
3202971464,418.5,2.8125,0.536689,1.26562
3202989510,414.562,2.82117,0.534507,1.26562
3203009463,412.562,2.82986,0.533416,1.17188
3203029165,408.375,2.83856,0.530144,1.17188
3203049414,403.875,2.84722,0.526871,1.07812
3203078263,397.062,2.85156,0.523599,1.07812
3203095642,392.375,2.86025,0.520326,0.96875
3203109448,387.562,2.86892,0.514872,0.875
3203130678,385.25,2.87761,0.510509,0.78125
3203151839,380.375,2.87761,0.505055,0.78125
3203169431,373,2.87761,0.4996,0.671875
3203196290,367.875,2.88628,0.493056,0.671875
3203213437,362.5,2.89497,0.487601,0.578125
3203230495,356.875,2.89931,0.482147,0.578125
3203249051,351.062,2.908,0.476693,0.578125
3203269792,345.375,2.91667,0.473421,0.484375
3203292765,339.562,2.921,0.467966,0.390625
3203312933,333.75,2.92969,0.464694,0.390625
3203329001,330.875,2.93403,0.460331,0.28125
3203350326,322.5,2.93836,0.457058,0.1875
3203376388,317.188,2.93836,0.450513,0.09375
3203404951,311.875,2.94706,0.442877,0
3203409886,306.688,2.94706,0.434151,-0.09375
3203429027,304.062,2.94706,0.424333,-0.09375
3203449264,299.062,2.95139,0.414516,-0.09375
3203477738,291.562,2.95139,0.405789,-0.09375
3203489508,286.75,2.96006,0.395972,0
3203509354,284.375,2.96875,0.387245,0
3203530811,277.375,2.97308,0.379609,0.09375
3203548881,273.062,2.97744,0.374155,0.1875
3203576454,269,2.98178,0.370882,0.28125
3203598705,265,2.99044,0.36761,0.390625
3203608986,261.062,2.99478,0.365428,0.390625
3203629071,257.188,3.00347,0.361065,0.390625
3203651051,255.375,3.00781,0.357792,0.484375
3203668958,249.688,3.00781,0.353429,0.484375
3203694026,246.062,3.0165,0.350157,0.484375
3203710261,242.562,3.02083,0.344703,0.484375
3203729556,238.875,3.0295,0.340339,0.484375
3203749353,235.188,3.03386,0.334885,0.484375
3203771306,231.688,3.03386,0.329431,0.390625
3203794339,228.062,3.04689,0.323977,0.390625
3203808836,225.062,3.05989,0.318523,0.28125
3203829524,222.375,3.06422,0.314159,0.28125
3203854362,221.062,3.06858,0.309796,0.1875
