speed_f,yaw_rate_f,longitude_acc_f,lateral_acc_f,X_f,Y_f,PHI_f
10.3593,0.0144375,0.22249,-0.235746,49.0725,-1.47995,0.0230419
10.3632,0.0140619,0.224972,-0.235682,49.2765,-1.47527,0.0233116
10.368,0.0137155,0.227315,-0.235623,49.4863,-1.47037,0.0235764
10.3745,0.0135276,0.225879,-0.235587,49.7584,-1.4639,0.0239215
10.3785,0.0129022,0.221568,-0.235472,49.9109,-1.46019,0.024063
10.3822,0.0125401,0.219075,-0.235402,50.1053,-1.45555,0.0242658
10.3834,0.0117805,0.216745,-0.235342,50.1389,-1.52898,-0.0496247
10.387,0.011484,0.214683,-0.235313,50.3426,-1.53912,-0.0494047
10.389,0.0112365,0.21253,-0.235249,50.5492,-1.54946,-0.0491901
10.3919,0.0110838,0.210779,-0.235195,50.7712,-1.5605,-0.0489613
10.3967,0.0110488,0.209066,-0.235122,51.1878,-1.55293,-0.0656199
10.4025,0.0109454,0.207792,-0.235058,51.3944,-1.56645,-0.0654038
10.408,0.0108524,0.206623,-0.234967,51.6098,-1.58049,-0.0651821
10.412,0.0107497,0.20516,-0.234862,51.8116,-1.59366,-0.0649787
10.4171,0.0106366,0.204092,-0.234775,52.0328,-1.60799,-0.0647603
10.4237,0.0105021,0.203139,-0.234667,52.2326,-1.62068,-0.0645703
10.4355,0.00757407,0.202938,-0.234563,52.234,-1.6771,-0.615154
10.4429,0.00754273,0.202258,-0.234463,52.4039,-1.79712,-0.615004
10.4481,0.00751476,0.201326,-0.234338,52.5819,-1.92285,-0.614848
10.4544,0.0075189,0.200467,-0.234186,52.7435,-2.03685,-0.614705
10.4665,0.0109633,0.200449,-0.234054,53.3491,-1.5925,-0.0545082
10.4713,0.0108996,0.199546,-0.233893,53.566,-1.60431,-0.0542832
10.4753,0.010867,0.198522,-0.233723,53.7773,-1.61579,-0.054065
10.4804,0.0108685,0.197641,-0.233526,53.9742,-1.62635,-0.0538603
10.4885,0.0108696,0.197412,-0.233366,54.1929,-1.6378,-0.0536331
10.4971,0.0109451,0.197156,-0.233172,54.3916,-1.64798,-0.0534188
10.5055,0.0108312,0.20109,-0.232985,54.4477,-1.61379,-0.0676537
10.5079,0.0109826,0.204907,-0.232748,54.6463,-1.6273,-0.0674426
10.5116,0.0111485,0.208278,-0.232533,54.8554,-1.64145,-0.0672142
10.5157,0.0112788,0.210858,-0.232361,55.0894,-1.65724,-0.0669557
10.5226,0.012187,0.215079,-0.232144,55.4848,-1.61378,0.0136891
10.5295,0.0124678,0.218584,-0.231953,55.6878,-1.61091,0.0139343
10.5334,0.0127799,0.216526,-0.231779,55.9012,-1.60796,0.0142039
10.5372,0.0130607,0.214677,-0.231618,56.1237,-1.60485,0.0144943
10.5395,0.0133976,0.212538,-0.23144,56.3349,-1.60195,0.0147864
10.5428,0.0137769,0.210453,-0.231274,56.53,-1.59913,0.0150744
10.5453,0.0138969,0.204389,-0.231143,56.6024,-1.62747,-0.000647247
10.5467,0.0142495,0.197821,-0.230997,56.8109,-1.6277,-0.000358706
10.547,0.0145274,0.191957,-0.230865,57.0308,-1.62798,-4.55942e-05
10.5468,0.0148452,0.185519,-0.230708,57.233,-1.62826,0.000256598
10.5459,0.0153616,0.179677,-0.230559,57.673,-1.65585,0.00868732
10.5483,0.0155537,0.175498,-0.230441,57.9064,-1.65388,0.00903487
10.5499,0.0157731,0.170118,-0.230277,58.1046,-1.65218,0.00933966
10.5505,0.0160202,0.159713,-0.230069,58.3033,-1.65049,0.0096549
10.5514,0.0161985,0.151021,-0.229885,58.5143,-1.64862,0.00999135
10.5517,0.0163549,0.143383,-0.229719,58.7368,-1.64667,0.0103498
10.5503,0.0160084,0.134531,-0.22956,58.7277,-1.62509,-0.0622669
10.551,0.0161866,0.127195,-0.229375,58.9389,-1.63832,-0.0619392
10.5526,0.01639,0.120483,-0.229231,59.1516,-1.65156,-0.0616008
10.5528,0.0166018,0.1135,-0.229076,59.3567,-1.66434,-0.0612663
10.5556,0.0167885,0.10785,-0.228935,59.5719,-1.67749,-0.0609102
10.5568,0.0169351,0.102321,-0.228796,59.7894,-1.69083,-0.0605481
10.5577,0.0171269,0.0965434,-0.228642,59.9963,-1.70348,-0.0601919
10.5564,0.0172785,0.0907398,-0.228486,60.2024,-1.71626,-0.0598361
10.5565,0.0173771,0.0860242,-0.228349,60.4219,-1.72963,-0.059461
10.5582,0.017455,0.0810005,-0.228182,60.6212,-1.74144,-0.0591193
10.5604,0.0175178,0.077102,-0.228043,60.84,-1.75428,-0.0587456
10.5633,0.0175816,0.0733574,-0.227897,61.0541,-1.7666,-0.0583773
10.5651,0.0176398,0.0698419,-0.227724,61.2757,-1.77946,-0.0579957
10.5661,0.017717,0.0652172,-0.227484,61.4639,-1.79039,-0.0576639
10.5643,0.0178068,0.0614327,-0.227299,61.6787,-1.80333,-0.0572823
10.5635,0.0178948,0.0579697,-0.227112,61.8926,-1.81596,-0.0568996
10.5646,0.0180201,0.0548188,-0.226912,62.1001,-1.82773,-0.0565153
